run_id,Acidobacteria,Actinobacteria,Bacteroidetes,Candidatus_Cloacimonetes,Candidatus_Melainabacteria,Chlamydiae,Chloroflexi,Cyanobacteria,Elusimicrobia,Fibrobacteres,Firmicutes,Fusobacteria,Gemmatimonadetes,Ignavibacteriae,Kiritimatiellaeota,Lentisphaerae,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Unassigned,Verrucomicrobia,phenotype
SRR5983347,0,0.026734986,0.286137544,0,0,0,6.97E-05,0.000766844,0,3.49E-05,0.524347311,3.49E-05,0,3.49E-05,3.49E-05,0,0.006343895,3.49E-05,0.000174283,3.49E-05,0.153787166,0.001394263,1
SRR5983348,0.000125865,0.021145374,0.250975456,0,0,0.000125865,0.000251731,0.000629327,0,0.000377596,0.59030837,0,0.000503461,0.000251731,0,0,0.026305853,0,0,0,0.096538704,0.012460667,0
SRR5983349,0,0.003216583,0.210507505,0.000178699,0,0.000178699,0,0,0,0.000536097,0.458720515,0.000178699,0,0.000178699,0,0,0.060221587,0,0.000178699,0.000357398,0.26536812,0.000178699,0
SRR5983350,0,0.009620253,0.490632911,0,0,0,0,0.000253165,0,0,0.365063291,0.000253165,0,0,0,0,0.009620253,0,0.000253165,0.000253165,0.07721519,0.046835443,0
SRR5983351,0.000124316,0.008826455,0.524117355,0,0,0,0.000124316,0,0,0.000745898,0.391471905,0.001243163,0,0,0.000124316,0,0.018896072,0,0,0,0.053828941,0.000497265,1
SRR5983352,0,0.001841244,0.703866612,0.000102291,0,0,0,0,0,0.000204583,0.108940262,0.000204583,0,0,0,0,0.040609656,0.000204583,0,0.000102291,0.13113748,0.012786416,0
SRR5983353,0,0.013045944,0.402722632,0,0,0,0,0,0,0.00226886,0.440726035,0.040272263,0,0,0,0,0.022121384,0,0,0,0.077708452,0.00113443,1
SRR5983354,0,0.00680167,0.569948987,0,0,0,0,0,0,0.000309167,0.198330499,0,0,0,0,0,0.024269593,0.000154583,0,0,0.198794249,0.001236667,0
SRR5983355,0.000726656,0.010536514,0.443018045,0,0,0,0,0.000242219,0,0,0.266803924,0.000121109,0.000242219,0,0.000121109,0,0.0323362,0.000121109,0,0,0.244398692,0.001332203,1
SRR5983356,0.000254582,0.00814664,0.437118126,0,0,0,0,0,0,0.000509165,0.265020367,0,0,0.00101833,0,0,0.038187373,0,0,0,0.181008147,0.068737271,0
